Drivetrain,Interior Color,VIN,Price,Model,Year,Exterior Color,Wheels,Mileage,Location,State,History
Long Range AWD,Premium Black and White,5YJ3E1EB7JF184290,43500,Model 3,2018,Solid Black,"18"" Aero Wheels",23524,"Nashville, TN",TN,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB8KF494675,47100,Model 3,2019,Pearl White Multi-Coat,"18"" Aero Wheels",11271,"Indianapolis, IN",IN,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB1KF437119,47900,Model 3,2019,Deep Blue Metallic,"18"" Aero Wheels",8810,"Cincinnati, OH",OH,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB0LF622134,49800,Model 3,2020,Pearl White Multi-Coat,"18"" Aero Wheels",3046,"Rockville, MD",MD,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB0LF640620,50300,Model 3,2020,Pearl White Multi-Coat,"19"" Sport Wheels",14795,"Owings Mills, MD",MD,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB5LF639267,50400,Model 3,2020,Deep Blue Metallic,"18"" Aero Wheels",5513,"Rockville, MD",MD,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB2LF639890,50000,Model 3,2020,Solid Black,"18"" Aero Wheels",9776,"Raleigh, NC",NC,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB8LF621846,50100,Model 3,2020,Midnight Silver Metallic,"18"" Aero Wheels",5014,"Roswell, GA",GA,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB7LF801562,54500,Model 3,2020,Midnight Silver Metallic,"18"" Aero Wheels",1195,"Decatur, GA",GA,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB6LF651640,50200,Model 3,2020,Pearl White Multi-Coat,"18"" Aero Wheels",4550,"Lathrop, CA",CA,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB1LF742153,52600,Model 3,2020,Midnight Silver Metallic,"18"" Aero Wheels",1792,"San Jose, CA",CA,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB6LF651508,54400,Model 3,2020,Pearl White Multi-Coat,"18"" Aero Wheels",4792,"San Jose, CA",CA,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB3LF808251,58800,Model 3,2020,Solid Black,"19"" Sport Wheels",197,"Lathrop, CA",CA,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB2LF606954,50400,Model 3,2020,Pearl White Multi-Coat,"18"" Aero Wheels",9628,"Lawrence Township, NJ",NJ,CLEAN
Long Range AWD,Premium Black and White,5YJ3E1EB4LF621892,52300,Model 3,2020,Red Multi-Coat,"18"" Aero Wheels",4906,"Paramus, NJ",NJ,CLEAN
